id_pays,Country,date,Direct investment,Direct investor in direct investment enterprises,Equity and investment fund shares,Financial derivatives (other than reserves) and employee stock options,Other investment,Portfolio investment,Reserve assets
1,USA,2005,4047170.0,632685.1,3449302.0,1190029.0,3302781.0,4628978.0,188042.63
1,USA,2006,4929892.0,632685.1,4294301.0,1238995.0,4004691.0,6017080.0,219853.42
1,USA,2007,5857923.0,632685.1,5090968.0,2559332.0,4748656.0,7262045.0,277211.39
1,USA,2008,3707211.0,632685.1,2928147.0,6127450.0,4974882.0,4320819.0,293732.44
1,USA,2009,4945292.0,632685.1,4097179.0,3489779.0,4529716.0,6058554.0,403804.01
1,USA,2010,5486391.0,632685.1,4620850.0,3652313.0,4980804.0,7160366.0,488673.62
1,USA,2011,5214826.0,632685.1,4320052.0,4716578.0,4869469.0,6871732.0,537035.6
1,USA,2012,5969502.0,632685.1,4983895.0,3619761.0,4417488.0,7931527.0,572368.49
1,USA,2013,7120688.0,632685.1,6054227.0,3017100.0,4353632.0,9130080.0,448333.04
1,USA,2014,7242129.0,632685.1,6059586.0,3252308.0,4251213.0,9627215.0,434250.98
1,USA,2015,7057108.0,632685.1,5812337.0,2443371.0,3977771.0,9439896.0,383601.29
1,USA,2016,7403191.0,632685.1,6185809.0,2220453.0,3990657.0,9882284.0,405784.83
1,USA,2017,8893940.0,632685.1,7683805.0,1560816.0,4263877.0,12413733.0,449702.67
1,USA,2018,7417363.0,632685.1,6139070.0,1449590.0,4468262.0,11322472.0,449069.97
1,USA,2019,8668834.0,632685.1,7485964.0,1790402.0,4747358.0,13124173.0,514411.14
1,USA,2020,9349445.0,632685.1,8193782.0,2545955.0,5101197.0,14399252.0,627306.34
1,USA,2021,10925509.0,632685.1,9726799.0,1982966.0,5087208.0,16313926.0,712332.06
1,USA,2022,9276999.0,632685.1,8076997.0,2543343.0,5030632.0,14073941.0,706914.89
2,Japan,2005,390597.34,632685.1,5844615.0,26314.67,920099.47,2114889.38,842979.91
2,Japan,2006,454838.8,632685.1,5844615.0,23026.94,981067.01,2343483.33,894791.23
2,Japan,2007,547507.15,632685.1,5844615.0,38961.12,1282693.21,2523566.69,967392.03
2,Japan,2008,690817.25,632685.1,5844615.0,77377.09,1562007.71,2376660.0,1024639.15
2,Japan,2009,753199.71,632685.1,5844615.0,46179.58,1342593.71,2845851.79,1053877.59
2,Japan,2010,846218.6,632685.1,5844615.0,52628.63,1592393.94,3305177.96,1105217.61
2,Japan,2011,972267.61,632685.1,5844615.0,53884.05,1803805.77,3379291.51,1293386.17
2,Japan,2012,1054098.52,632685.1,5844615.0,53417.02,1681213.78,3559776.02,1264795.53
2,Japan,2013,1132970.05,632685.1,5844615.0,77943.17,1665663.34,3430706.07,1268023.42
2,Japan,2014,1177193.31,632685.1,5844615.0,466578.37,1517381.55,3299524.6,1252494.34
2,Japan,2015,1260182.53,632685.1,5844615.0,374106.43,1503080.23,3417360.99,1232756.15
2,Japan,2016,1360318.17,632685.1,5844615.0,372010.79,1712079.22,3779292.03,1220418.32
2,Japan,2017,1551295.3,632685.1,5844615.0,300088.85,1756779.41,4106257.04,1261272.09
2,Japan,2018,1641088.08,632685.1,5844615.0,289969.35,1920142.0,4068775.05,1265290.43
2,Japan,2019,1871045.17,632685.1,5844615.0,314344.47,1948118.46,4536099.21,1323107.23
2,Japan,2020,2022557.11,632685.1,5844615.0,431319.66,2175875.66,5071831.73,1387859.93
2,Japan,2021,2050818.58,632685.1,5844615.0,311209.74,2151026.07,5077960.56,1415653.98
2,Japan,2022,2071231.98,632685.1,5844615.0,578711.83,2211018.2,4005202.19,1222571.38
3,Germany,2005,996717.91,824807.31,5844615.0,702257.61,2099205.37,1817915.34,101675.67
3,Germany,2006,1235955.77,1036916.24,5844615.0,702257.61,2631750.56,2266372.62,111637.67
3,Germany,2007,1545285.45,1309826.0,5844615.0,702257.61,3370009.34,2624808.77,136234.13
3,Germany,2008,1459591.3,1179869.34,5844615.0,702257.61,3349511.55,2149161.95,138044.18
3,Germany,2009,1605282.19,1291800.43,5844615.0,702257.61,3260102.29,2507865.63,180847.84
3,Germany,2010,1634923.54,1320526.37,5844615.0,1047828.0,3284403.65,2555685.6,216496.43
3,Germany,2011,1696190.33,1358754.15,5844615.0,1185264.16,3361786.4,2380350.31,238853.74
