id_pays,Country,date,Direct investment,Direct investor in direct investment enterprises,Equity and investment fund shares,Financial derivatives (other than reserves) and employee stock options,Other investment,Portfolio investment
1,USA,2005,3227144.0,493922.45,2483696.0,1132114.0,3517772.73,7337835.0
1,USA,2006,3752602.0,493922.45,2895531.0,1179159.0,4443046.86,8843523.0
1,USA,2007,4134239.0,493922.45,3097513.0,2487860.0,5034923.47,10326974.0
1,USA,2008,3091240.0,493922.45,2000508.0,5967815.0,4883789.6,9475873.0
1,USA,2009,3618630.0,493922.45,2513901.0,3363444.0,4608777.06,10463234.0
1,USA,2010,4099097.0,493922.45,2927753.0,3541931.0,4769329.38,11869262.0
1,USA,2011,4199225.0,493922.45,2968362.0,4630539.0,5187250.96,12647243.0
1,USA,2012,4662434.0,493922.45,3415843.0,3561985.0,4876890.37,13978865.0
1,USA,2013,5814935.0,493922.45,4443216.0,2939543.0,5217691.12,15541251.0
1,USA,2014,6378893.0,493922.45,4895752.0,3166776.0,5360848.54,16921786.0
1,USA,2015,6729220.0,493922.45,5110389.0,2388893.0,5128258.02,16645846.0
1,USA,2016,7510517.0,493922.45,5823354.0,2162275.0,5128001.99,17359963.0
1,USA,2017,8835252.0,493922.45,7115858.0,1523171.0,5656082.27,19398286.0
1,USA,2018,8393517.0,493922.45,6745536.0,1407548.0,6257356.75,18844156.0
1,USA,2019,10454728.0,493922.45,8790514.0,1770251.0,6523071.43,21763567.0
1,USA,2020,11875581.0,493922.45,10262872.0,2552650.0,7144022.06,25171906.0
1,USA,2021,14882645.0,493922.45,13163067.0,1960913.0,7989936.99,28971605.0
1,USA,2022,12262731.0,493922.45,10477325.0,2473846.0,8303499.23,24764060.0
2,Japan,2005,104913.48,493922.45,5507277.22,33234.19,1082557.67,1542421.32
2,Japan,2006,112907.6,493922.45,5507277.22,30155.49,983087.22,1762889.74
2,Japan,2007,137743.83,493922.45,5507277.22,43546.72,1041010.45,1942870.7
2,Japan,2008,213860.91,493922.45,5507277.22,85521.1,1401067.34,1541679.78
2,Japan,2009,212416.67,493922.45,5507277.22,56629.69,1319178.77,1537001.43
2,Japan,2010,230022.64,493922.45,5507277.22,64664.53,1589771.01,1866805.8
2,Japan,2011,242200.6,493922.45,5507277.22,72580.56,1742358.24,2026255.29
2,Japan,2012,222152.75,493922.45,5507277.22,61537.2,1785927.92,2085547.44
2,Japan,2013,185669.94,493922.45,5507277.22,82207.11,1820867.24,2393242.83
2,Japan,2014,196850.26,493922.45,5507277.22,493661.48,1745698.57,2366479.0
2,Japan,2015,205562.01,493922.45,5507277.22,379187.04,1823212.2,2664319.64
2,Japan,2016,241710.97,493922.45,5507277.22,389305.55,2149496.26,2784362.45
2,Japan,2017,256211.39,493922.45,5507277.22,300895.32,2165176.33,3336765.22
2,Japan,2018,276845.95,493922.45,5507277.22,276978.89,2382325.44,3168733.82
2,Japan,2019,314609.0,493922.45,5507277.22,305212.63,2471176.88,3631260.06
2,Japan,2020,387803.23,493922.45,5507277.22,408661.53,2711787.99,4111190.25
2,Japan,2021,356291.19,493922.45,5507277.22,307401.62,2557804.29,4126171.3
2,Japan,2022,348043.76,493922.45,5507277.22,583511.06,2546850.78,3454390.46
3,Germany,2005,813160.13,401805.82,5507277.22,669483.79,1727617.44,2118216.23
3,Germany,2006,1029899.27,513479.86,5507277.22,669483.79,2086591.64,2705297.11
3,Germany,2007,1246940.83,649608.29,5507277.22,669483.79,2477215.59,3523120.99
3,Germany,2008,1137226.26,571702.01,5507277.22,669483.79,2472520.68,2892555.21
3,Germany,2009,1212374.39,593213.15,5507277.22,669483.79,2414062.45,3164155.45
3,Germany,2010,1210518.36,584733.15,5507277.22,1050822.42,2578304.49,3179159.19
3,Germany,2011,1252020.34,592949.08,5507277.22,1202209.07,2551915.88,3207831.7
3,Germany,2012,1447955.74,627618.79,5507277.22,1250999.67,2522674.69,3597348.06
3,Germany,2013,1599365.71,670417.75,5507277.22,852374.82,2371736.33,3785716.38
3,Germany,2014,1469339.03,639680.15,5507277.22,988536.0,2171273.85,3629320.06
3,Germany,2015,1391420.66,597638.6,5507277.22,741529.9,2041135.34,3268377.56
3,Germany,2016,1417595.84,601103.69,5507277.22,675648.59,2172757.82,3157655.64
3,Germany,2017,1715996.82,738573.31,5507277.22,587471.11,2573186.79,3616648.66
3,Germany,2018,1755565.53,711012.94,5507277.22,509187.23,2571850.74,3199276.56
3,Germany,2019,1808553.8,725123.24,5507277.22,738655.72,2505616.73,3493171.86
3,Germany,2020,2161688.81,877527.43,5507277.22,1042690.18,3032404.68,3989669.0
3,Germany,2021,2088445.31,844855.04,5507277.22,809542.84,3420920.48,3810698.39
3,Germany,2022,2019117.53,810901.85,5507277.22,1586332.85,3306689.33,3029986.61
4,China,2005,568710.61,456724.41,5507277.22,17100.94,347431.8,178438.44
4,China,2006,783064.63,662087.72,5507277.22,20366.33,411672.91,259663.52
4,China,2007,1226806.0,1098117.67,5507277.22,32536.82,578972.63,477603.67
4,China,2008,873281.59,736820.98,5507277.22,73885.17,538017.81,229908.26
4,China,2009,994020.76,852568.63,5507277.22,40033.27,556340.79,340813.49
4,China,2010,1162625.25,998196.28,5507277.22,50131.84,696101.87,413978.13
4,China,2011,1184511.36,1010752.82,5507277.22,61470.74,781742.71,359636.98
4,China,2012,1355913.68,1180655.7,5507277.22,82413.13,822527.58,482998.0
