id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
4;China;Direct investment;551 008,71;759 802,17;1 107 964,37;858 421,26;928 946,30;1 039 043,15;1 129 058,79;1 273 797,17;1 352 095,96;1 593 516,21;1 707 091,54;1 744 500,39;2 037 735,09;2 051 477,28;2 015 466,55;2 117 931,38;2 199 838,04;2 179 933,15
4;China;Equity and investment fund shares;411 005,48;604 291,59;941 210,02;675 517,71;749 282,70;849 567,30;912 865,11;1 023 557,32;1 095 353,84;1 297 144,48;1 355 348,82;1 385 848,59;1 640 663,04;1 654 267,68;1 630 658,15;1 733 402,30;1 825 219,42;1 795 750,00
4;China;Direct investor in direct investment enterprises;411 005,48;604 291,59;941 210,02;675 517,71;749 282,70;849 567,30;912 865,11;1 023 557,32;1 095 353,84;1 297 144,48;1 355 348,82;1 385 848,59;1 640 663,04;1 654 261,30;1 630 652,63;1 733 396,75;1 825 219,42;1 795 750,00
4;China;Debt instruments;140 003,22;155 510,58;166 754,21;182 903,55;179 663,72;189 475,72;216 193,68;250 239,98;256 742,12;296 371,87;351 742,73;358 651,66;397 072,18;397 209,47;384 808,40;384 529,09;374 618,62;384 183,15
4;China;Portfolio investment;436 598,65;580 551,55;778 579,89;557 156,44;811 482,05;929 450,90;825 764,08;987 223,28;1 121 244,21;1 170 486,24;1 258 695,31;1 367 234,72;1 723 972,61;1 592 824,61;1 819 545,78;2 192 641,82;2 118 193,64;1 822 200,82
4;China;Equity and investment fund shares;227 848,82;338 899,22;514 544,00;275 177,60;498 739,60;581 741,59;478 923,96;605 503,90;693 798,16;738 401,52;794 869,88;874 312,87;1 202 732,02;997 369,80;1 165 637,86;1 474 193,73;1 416 380,74;1 157 001,15
4;China;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
4;China;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
4;China;Debt securities;208 749,82;241 652,45;264 035,89;281 978,97;312 742,44;347 709,18;346 840,13;381 719,24;427 446,06;432 084,84;463 825,43;492 921,85;521 240,59;595 454,81;653 908,05;718 448,08;701 812,90;665 199,67
4;China;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
4;China;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
4;China;Financial derivatives (other than reserves) and employee stock options;17 192,91;22 535,73;47 890,66;87 131,28;48 897,43;58 768,92;69 440,99;85 354,49;73 259,56;80 395,98;82 717,12;110 664,04;78 952,65;80 581,06;78 989,47;114 157,36;104 539,75;161 006,92
4;China;Other investment;441 059,79;513 673,03;733 908,74;680 400,88;631 665,66;703 805,26;803 815,34;818 264,63;898 546,72;1 003 697,38;956 858,27;1 000 483,49;1 206 417,84;1 281 858,69;1 286 143,70;1 374 812,98;1 482 058,48;1 488 535,09
4;China;Reserve assets;114 147,44;126 702,04;139 452,41;164 199,08;245 464,25;256 907,20;270 492,30;300 686,00;311 194,55;328 482,85;358 807,01;386 199,03;431 551,68;424 418,15;441 621,54;491 828,71;496 758,56;423 863,12
