id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
2;Japan;Direct investment;390 597,34;454 838,80;547 507,15;690 817,25;753 199,71;846 218,60;972 267,61;1 054 098,52;1 132 970,05;1 177 193,31;1 260 182,53;1 360 318,17;1 551 295,30;1 641 088,08;1 871 045,17;2 022 557,11;2 050 818,58;2 071 231,98
2;Japan;Equity and investment fund shares;368 722,00;429 532,30;519 329,69;644 658,55;704 406,96;796 385,23;915 955,58;990 997,93;1 070 267,02;1 075 579,86;1 148 210,06;1 247 425,67;1 418 667,50;1 478 540,46;1 704 975,85;1 847 772,57;1 886 337,86;1 909 061,81
2;Japan;Direct investor in direct investment enterprises;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2;Japan;Debt instruments;21 875,33;25 306,50;28 177,46;46 158,70;48 792,75;49 833,37;56 312,03;63 100,59;62 703,03;101 613,45;111 972,48;112 892,50;132 627,79;162 547,63;166 069,33;174 784,54;164 480,71;162 170,17
2;Japan;Portfolio investment;2 114 889,38;2 343 483,33;2 523 566,69;2 376 660,00;2 845 851,79;3 305 177,96;3 379 291,51;3 559 776,02;3 430 706,07;3 299 524,60;3 417 360,99;3 779 292,03;4 106 257,04;4 068 775,05;4 536 099,21;5 071 831,73;5 077 960,56;4 005 202,19
2;Japan;Equity and investment fund shares;408 574,78;510 419,42;573 469,44;394 672,96;594 036,86;678 481,66;665 849,05;687 169,57;1 198 712,66;1 190 117,92;1 274 802,74;1 405 904,02;1 676 049,62;1 631 753,23;1 904 929,17;2 076 556,27;2 225 639,81;1 838 696,84
2;Japan;Central bank;...;...;...;...;...;...;...;...;...;130,07;130,90;131,34;128,23;125,06;124,85;129,59;127,36;119,66
2;Japan;General government;1,99;2,00;1,98;261,85;78,74;116,77;102,20;94,68;122,21;72,16;101,14;96,19;122,00;263,35;259,39;443,79;360,70;295,32
2;Japan;Debt securities;1 706 314,59;1 833 063,92;1 950 097,24;1 981 987,03;2 251 814,93;2 626 696,30;2 713 442,46;2 872 606,44;2 231 993,40;2 109 406,67;2 142 558,25;2 373 388,01;2 430 207,43;2 437 021,82;2 631 170,04;2 995 275,46;2 852 320,75;2 166 505,35
2;Japan;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2;Japan;General government;7 377,68;6 415,22;5 019,46;5 124,24;5 144,91;6 317,03;5 643,85;5 751,95;3 413,44;5 950,79;5 111,61;3 444,45;3 413,79;3 622,68;3 368,28;2 763,94;2 829,87;2 226,84
2;Japan;Financial derivatives (other than reserves) and employee stock options;26 314,67;23 026,94;38 961,12;77 377,09;46 179,58;52 628,63;53 884,05;53 417,02;77 943,17;466 578,37;374 106,43;372 010,79;300 088,85;289 969,35;314 344,47;431 319,66;311 209,74;578 711,83
2;Japan;Other investment;920 099,47;981 067,01;1 282 693,21;1 562 007,71;1 342 593,71;1 592 393,94;1 803 805,77;1 681 213,78;1 665 663,34;1 517 381,55;1 503 080,23;1 712 079,22;1 756 779,41;1 920 142,00;1 948 118,46;2 175 875,66;2 151 026,07;2 211 018,20
2;Japan;Reserve assets;842 979,91;894 791,23;967 392,03;1 024 639,15;1 053 877,59;1 105 217,61;1 293 386,17;1 264 795,53;1 268 023,42;1 252 494,34;1 232 756,15;1 220 418,32;1 261 272,09;1 265 290,43;1 323 107,23;1 387 859,93;1 415 653,98;1 222 571,38
