id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
6;Morocco;Direct investment;665,63;1 053,64;1 337,14;1 699,09;1 861,38;1 913,98;2 018,57;2 175,35;K 2,554.72;4 186,97;4 557,27;5 203,35;5 336,16;5 418,22;6 446,73;7 323,41;7 297,03;7 065,98
6;Morocco;Equity and investment fund shares;534,74;983,94;1 245,62;1 551,81;1 799,33;1 853,51;1 893,52;2 014,30;K 2,173.50;3 807,82;3 999,55;4 738,97;4 761,44;4 942,36;5 927,14;6 683,52;6 624,28;6 211,22
6;Morocco;Direct investor in direct investment enterprises;534,74;983,94;1 245,62;1 551,81;1 799,33;1 853,51;1 893,52;2 014,30;K 2,173.50;3 807,82;3 999,55;4 738,97;4 761,44;4 942,36;5 927,14;6 683,52;6 624,28;6 211,22
6;Morocco;Debt instruments;130,89;69,70;91,52;147,28;62,05;60,47;125,05;161,05;K 381.22;379,15;557,72;464,38;574,71;475,85;519,59;639,89;672,75;854,76
6;Morocco;Portfolio investment;175,54;178,45;915,82;1 022,19;724,14;961,55;796,80;817,19;K 759.59;1 207,20;1 462,48;1 761,54;1 313,85;1 161,83;1 184,92;1 422,32;1 314,08;1 089,58
6;Morocco;Equity and investment fund shares;175,54;170,55;906,98;946,17;707,31;948,81;729,94;778,04;K 749.22;1 196,83;1 346,62;1 556,30;1 198,18;1 045,76;1 091,37;1 322,63;1 286,69;1 065,29
6;Morocco;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
6;Morocco;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
6;Morocco;Debt securities;...;7,90;8,84;76,02;16,83;12,74;66,86;39,15;K 10.37;10,37;115,86;205,24;115,68;116,07;93,56;99,69;27,39;24,28
6;Morocco;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
6;Morocco;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
6;Morocco;Financial derivatives (other than reserves) and employee stock options;...;...;...;...;...;...;...;...;K 10.64;98,01;115,85;111,78;26,28;36,51;20,98;35,27;70,93;63,03
6;Morocco;Other investment;3 969,23;4 735,54;5 710,24;4 885,12;4 585,22;3 341,06;4 052,92;3 446,80;K 4,533.09;5 569,69;5 603,70;5 848,21;8 275,81;7 750,24;8 351,42;10 205,54;9 655,78;10 063,76
6;Morocco;Reserve assets;16 460,81;20 814,31;24 715,57;22 764,04;23 579,44;23 612,50;20 642,05;17 534,89;K 19,255.53;20 405,28;23 008,32;25 364,56;26 189,59;24 436,18;26 412,58;35 999,40;35 648,10;32 316,79
