id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
5;Russian Federeation;Direct investment;140 775,21;234 631,57;365 797,39;198 437,04;298 357,01;361 120,69;361 750,02;409 567,14;479 501,12;414 413,29;375 034,33;426 608,32;477 213,39;435 862,04;501 156,74;471 840,12;487 003,98;381 194,39
5;Russian Federeation;Equity and investment fund shares;139 045,71;231 122,76;350 854,19;182 061,36;272 608,56;314 334,15;287 228,56;327 503,51;400 396,82;326 591,26;286 411,46;329 446,87;372 626,53;330 122,58;391 124,86;371 128,83;392 801,70;298 316,99
5;Russian Federeation;Direct investor in direct investment enterprises;139 045,71;231 120,35;350 849,30;182 056,47;272 600,97;314 323,47;287 214,10;327 476,36;400 362,06;326 544,60;286 253,08;329 277,74;372 411,45;329 808,36;390 767,46;370 670,00;392 291,76;297 711,68
5;Russian Federeation;Debt instruments;1 729,50;3 508,81;14 943,20;16 375,68;25 748,45;46 786,54;74 521,46;82 063,63;79 104,29;87 822,03;88 622,87;97 161,45;104 586,86;105 739,46;110 031,88;100 711,29;94 202,28;82 877,39
5;Russian Federeation;Portfolio investment;17 774,73;12 248,10;19 935,53;24 221,35;38 155,78;36 656,32;42 434,94;48 299,77;53 743,44;56 629,52;68 118,70;72 060,18;73 945,51;68 551,09;80 294,40;107 873,51;117 412,98;80 640,92
5;Russian Federeation;Equity and investment fund shares;333,71;489,66;4 123,89;2 855,36;2 532,08;3 985,30;4 518,55;5 271,39;3 231,96;4 432,97;2 814,58;3 171,88;4 644,87;5 775,00;8 457,10;22 222,04;34 473,10;21 846,82
5;Russian Federeation;Central bank;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...
5;Russian Federeation;General government;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5;Russian Federeation;Debt securities;17 441,01;11 758,44;15 811,64;21 365,99;35 623,70;32 671,03;37 916,39;43 028,38;50 511,48;52 196,55;65 304,12;68 888,30;69 300,64;62 776,09;71 837,30;85 651,47;82 939,88;58 794,10
5;Russian Federeation;Central bank;10 222,94;2 992,20;-;-;2 364,20;-;-;2 984,57;1 827,10;-;2 325,19;2 543,93;4 480,94;1 998,90;4 152,14;2 540,60;6 837,53;...
5;Russian Federeation;General government;-;-;-;-;-;-;-;-;3 003,28;3 004,53;3 075,00;3 075,00;3 075,00;3 307,03;3 352,79;3 485,02;3 456,32;3 471,32
5;Russian Federeation;Financial derivatives (other than reserves) and employee stock options;50,90;222,10;1 423,40;5 302,00;2 240,16;1 639,25;5 674,94;5 553,50;5 931,87;17 564,81;11 145,74;6 856,53;4 853,40;6 406,96;5 362,13;6 735,53;6 444,19;1 281,72
5;Russian Federeation;Other investment;175 090,41;204 139,10;227 493,24;351 894,03;309 507,41;292 357,45;336 391,84;379 661,40;425 826,81;404 131,82;355 240,56;357 806,99;357 992,62;364 296,14;373 134,01;386 862,88;410 411,58;548 801,45
5;Russian Federeation;Reserve assets;182 240,35;303 731,87;478 762,37;426 283,03;439 446,60;479 373,97;498 644,90;537 616,11;509 592,54;385 458,87;368 397,83;377 738,08;432 731,04;468 477,85;554 346,04;595 772,04;630 624,22;...
