id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
7;Saudi Arabia;Direct investment;K 17,047.47;20 444,00;22 621,20;26 528,00;29 957,92;34 359,47;39 302,76;44 698,75;63 120,51;73 972,90;84 436,96;104 613,05;123 904,37;128 815,30;153 175,21;169 343,70;;
7;Saudi Arabia;Equity and investment fund shares;K 17,047.47;20 444,00;22 621,20;26 528,00;29 957,92;34 359,47;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;Direct investor in direct investment enterprises;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;Debt instruments;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;Portfolio investment;K 104,946.99;98 592,47;121 536,88;146 168,07;158 197,34;167 531,60;178 178,49;198 990,49;204 160,84;199 497,04;217 797,29;247 589,03;283 146,12;332 365,91;382 073,23;387 997,14;;
7;Saudi Arabia;Equity and investment fund shares;K 52,659.27;50 196,67;58 807,75;78 576,37;81 504,00;92 177,60;98 958,23;111 026,17;110 318,86;109 736,30;154 372,57;174 346,10;207 694,09;269 291,10;324 414,60;332 311,54;;
7;Saudi Arabia;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;Debt securities;K 52,287.72;48 395,80;62 729,13;67 591,70;76 693,33;75 354,00;79 220,27;87 964,32;93 841,98;89 760,75;63 424,71;73 242,93;75 452,03;63 074,82;57 658,63;55 685,60;;
7;Saudi Arabia;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;Financial derivatives (other than reserves) and employee stock options;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;Other investment;K 67,761.80;69 115,51;81 710,88;89 763,28;91 704,59;77 435,15;84 705,99;93 249,35;111 260,91;130 166,22;187 787,59;214 918,19;253 220,26;233 289,58;260 206,85;329 034,06;;
7;Saudi Arabia;Reserve assets;K 305,639.17;442 664,43;410 108,53;445 136,65;544 014,78;656 573,99;725 724,83;732 353,34;616 418,02;535 797,17;496 423,36;496 589,04;499 576,16;453 641,16;455 417,27;459 839,87;;
