id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
1;USA;Direct investment;4 047 170,00;4 929 892,00;5 857 923,00;3 707 211,00;4 945 292,00;5 486 391,00;5 214 826,00;5 969 502,00;7 120 688,00;7 242 129,00;7 057 108,00;7 403 191,00;8 893 940,00;7 417 363,00;8 668 834,00;9 349 445,00;10 925 509,00;9 276 999,00
1;USA;Equity and investment fund shares;3 449 302,00;4 294 301,00;5 090 968,00;2 928 147,00;4 097 179,00;4 620 850,00;4 320 052,00;4 983 895,00;6 054 227,00;6 059 586,00;5 812 337,00;6 185 809,00;7 683 805,00;6 139 070,00;7 485 964,00;8 193 782,00;9 726 799,00;8 076 997,00
1;USA;Direct investor in direct investment enterprises;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1;USA;Debt instruments;597 868,00;635 591,00;766 955,00;779 064,00;848 113,00;865 541,00;894 774,00;985 607,00;1 066 461,00;1 182 543,00;1 244 771,00;1 217 382,00;1 210 135,00;1 278 293,00;1 182 870,00;1 155 663,00;1 198 710,00;1 200 003,00
1;USA;Portfolio investment;4 628 978,00;6 017 080,00;7 262 045,00;4 320 819,00;6 058 554,00;7 160 366,00;6 871 732,00;7 931 527,00;9 130 080,00;9 627 215,00;9 439 896,00;9 882 284,00;12 413 733,00;11 322 472,00;13 124 173,00;14 399 252,00;16 313 926,00;14 073 941,00
1;USA;Equity and investment fund shares;3 317 705,00;4 328 960,00;5 247 990,00;2 748 428,00;3 995 295,00;4 900 246,00;4 501 438,00;5 321 857,00;6 472 877,00;6 770 629,00;6 756 163,00;7 146 320,00;9 118 138,00;7 899 563,00;9 478 014,00;10 615 016,00;12 061 294,00;10 305 962,00
1;USA;Central bank;...;...;...;...;...;...;-;-;-;-;-;-;-;-;-;-;-;-
1;USA;General government;...;...;...;...;...;...;-;-;-;-;-;-;-;-;-;-;-;-
1;USA;Debt securities;1 311 273,00;1 688 120,00;2 014 055,00;1 572 391,00;2 063 259,00;2 260 120,00;2 370 294,00;2 609 670,00;2 657 203,00;2 856 586,00;2 683 733,00;2 735 964,00;3 295 595,00;3 422 909,00;3 646 158,00;3 784 236,00;4 252 632,00;3 767 979,00
1;USA;Central bank;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;USA;General government;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;USA;Financial derivatives (other than reserves) and employee stock options;1 190 029,00;1 238 995,00;2 559 332,00;6 127 450,00;3 489 779,00;3 652 313,00;4 716 578,00;3 619 761,00;3 017 100,00;3 252 308,00;2 443 371,00;2 220 453,00;1 560 816,00;1 449 590,00;1 790 402,00;2 545 955,00;1 982 966,00;2 543 343,00
1;USA;Other investment;3 302 781,00;4 004 691,00;4 748 656,00;4 974 882,00;4 529 716,00;4 980 804,00;4 869 469,00;4 417 488,00;4 353 632,00;4 251 213,00;3 977 771,00;3 990 657,00;4 263 877,00;4 468 262,00;4 747 358,00;5 101 197,00;5 087 208,00;5 030 632,00
1;USA;Reserve assets;188 042,63;219 853,42;277 211,39;293 732,44;403 804,01;488 673,62;537 035,60;572 368,49;448 333,04;434 250,98;383 601,29;405 784,83;449 702,67;449 069,97;514 411,14;627 306,34;712 332,06;706 914,89
