id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
8;Ukraine;Direct investment;468,00;344,00;6 379,00;7 089,00;5 906,00;K 6,548.00;6 960,00;7 867,00;7 998,00;7 967,00;3 265,00;3 261,00;3 438,00;3 524,00;4 343,00;3 958,00;3 885,00;2 837,00
8;Ukraine;Equity and investment fund shares;219,00;221,00;6 256,00;6 971,00;5 783,00;K 6,425.00;6 456,00;7 589,00;7 703,00;7 456,00;2 793,00;2 660,00;2 627,00;2 600,00;3 417,00;2 755,00;2 260,00;1 680,00
8;Ukraine;Direct investor in direct investment enterprises;219,00;221,00;6 256,00;6 971,00;5 783,00;K 6,425.00;6 456,00;7 589,00;7 703,00;7 456,00;2 793,00;2 660,00;2 627,00;2 600,00;3 417,00;2 755,00;2 260,00;1 680,00
8;Ukraine;Debt instruments;249,00;123,00;123,00;118,00;123,00;K 123.00;504,00;278,00;295,00;511,00;472,00;601,00;811,00;924,00;926,00;1 203,00;1 625,00;1 157,00
8;Ukraine;Portfolio investment;56,00;63,00;103,00;49,00;79,00;K 94.00;108,00;173,00;176,00;188,00;173,00;96,00;98,00;129,00;546,00;703,00;616,00;1 281,00
8;Ukraine;Equity and investment fund shares;50,00;56,00;88,00;45,00;73,00;K 67.00;50,00;64,00;74,00;68,00;75,00;3,00;1,00;6,00;30,00;111,00;316,00;372,00
8;Ukraine;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
8;Ukraine;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
8;Ukraine;Debt securities;6,00;7,00;15,00;4,00;6,00;K 27.00;58,00;109,00;102,00;120,00;98,00;93,00;97,00;123,00;516,00;592,00;300,00;909,00
8;Ukraine;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
8;Ukraine;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
8;Ukraine;Financial derivatives (other than reserves) and employee stock options;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
8;Ukraine;Other investment;22 797,00;34 360,00;51 675,00;67 915,00;78 667,00;K 90,798.00;99 840,00;109 627,00;107 800,00;105 242,00;103 311,00;100 703,00;102 284,00;104 315,00;110 662,00;115 968,00;123 657,00;135 562,00
8;Ukraine;Reserve assets;19 391,01;22 256,49;32 462,82;31 542,64;26 504,61;K 34,575.99;31 794,94;24 546,22;20 415,98;7 532,77;13 299,85;15 538,88;18 808,80;20 819,87;25 302,20;29 132,87;30 940,96;28 494,54
