id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
4;China;Direct investment;568 710,61;783 064,63;1 226 806,00;873 281,59;994 020,76;1 162 625,25;1 184 511,36;1 355 913,68;1 463 425,16;1 639 420,02;1 767 283,27;1 823 852,46;2 168 355,52;2 185 433,24;2 078 712,34;2 048 693,28;2 157 752,24;2 215 899,46
4;China;Equity and investment fund shares;456 724,41;662 087,72;1 098 117,67;736 820,98;852 568,63;998 272,17;1 010 873,09;1 180 812,98;1 283 600,18;1 445 573,98;1 566 617,77;1 600 778,05;1 909 614,79;1 930 308,14;1 826 479,13;1 779 893,59;1 874 527,44;1 914 860,78
4;China;Direct investor in direct investment enterprises;456 724,41;662 087,72;1 098 117,67;736 820,98;852 568,63;998 196,28;1 010 752,82;1 180 655,70;1 283 448,64;1 445 521,89;1 566 570,03;1 600 706,73;1 907 809,83;1 928 495,79;1 824 902,02;1 778 230,36;1 872 809,95;1 913 463,88
4;China;Debt instruments;111 986,33;120 977,04;128 688,33;136 460,49;141 452,13;164 353,08;173 638,27;175 100,70;179 824,85;193 846,04;200 665,51;223 074,41;258 740,85;255 125,10;252 233,34;268 799,69;283 224,80;301 038,68
4;China;Portfolio investment;178 438,44;259 663,52;477 603,67;229 908,26;340 813,49;413 978,13;359 636,98;482 998,00;521 808,86;526 822,38;463 479,39;437 293,40;572 977,86;538 500,51;573 225,63;560 355,09;525 543,60;500 841,57
4;China;Equity and investment fund shares;167 568,27;247 870,35;433 622,51;214 489,39;326 143,90;395 398,93;329 975,92;450 042,84;487 980,65;488 878,60;419 799,37;390 848,34;502 049,53;450 063,95;486 194,81;483 550,88;449 691,07;427 564,04
4;China;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
4;China;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
4;China;Debt securities;10 870,17;11 793,17;43 981,03;15 418,88;14 669,59;18 579,20;29 661,06;32 955,16;33 828,21;37 943,78;43 680,15;46 445,06;70 928,33;88 436,43;87 030,82;76 804,20;75 852,53;73 277,66
4;China;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
4;China;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
4;China;Financial derivatives (other than reserves) and employee stock options;17 100,94;20 366,33;32 536,82;73 885,17;40 033,27;50 131,84;61 470,74;82 413,13;66 043,34;70 953,39;74 275,85;106 660,56;70 501,54;73 439,49;74 537,05;116 639,88;94 708,64;153 655,74
4;China;Other investment;347 431,80;411 672,91;578 972,63;538 017,81;556 340,79;696 101,87;781 742,71;822 527,58;947 084,93;1 069 191,54;1 056 002,19;1 087 450,86;1 245 633,61;1 351 255,55;1 336 099,65;1 443 684,77;1 512 161,45;1 443 875,13
;;;;;;;;;;;;;;;;;;;;
