id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
3;Germany;Direct investment;813 160,13;1 029 899,27;1 246 940,83;1 137 226,26;1 212 374,39;1 210 518,36;1 252 020,34;1 447 955,74;1 599 365,71;1 469 339,03;1 391 420,66;1 417 595,84;1 715 996,82;1 755 565,53;1 808 553,80;2 161 688,81;2 088 445,31;2 019 117,53
3;Germany;Equity and investment fund shares;401 805,82;513 479,86;649 608,29;571 702,01;593 213,15;584 733,15;592 949,08;627 618,79;670 417,75;639 680,15;597 638,60;601 103,69;738 573,31;711 012,94;725 123,24;877 527,43;844 855,04;810 901,85
3;Germany;Direct investor in direct investment enterprises;401 805,82;513 479,86;649 608,29;571 702,01;593 213,15;584 733,15;592 949,08;627 618,79;670 417,75;639 680,15;597 638,60;601 103,69;738 573,31;711 012,94;725 123,24;877 527,43;844 855,04;810 901,85
3;Germany;Debt instruments;411 354,31;516 419,41;597 332,54;565 525,65;619 159,80;625 785,22;659 071,26;820 336,95;928 947,97;829 658,88;793 782,06;816 492,16;977 423,50;1 044 552,59;1 083 430,55;1 284 161,38;1 243 590,27;1 208 215,68
3;Germany;Portfolio investment;2 118 216,23;2 705 297,11;3 523 120,99;2 892 555,21;3 164 155,45;3 179 159,19;3 207 831,70;3 597 348,06;3 785 716,38;3 629 320,06;3 268 377,56;3 157 655,64;3 616 648,66;3 199 276,56;3 493 171,86;3 989 669,00;3 810 698,39;3 029 986,61
3;Germany;Equity and investment fund shares;449 332,39;820 184,14;1 173 072,33;525 103,72;768 754,58;831 259,37;728 749,06;939 540,78;1 249 522,52;1 180 321,31;1 129 649,27;1 124 478,04;1 445 552,27;1 120 312,66;1 320 899,34;1 438 562,46;1 493 735,17;1 093 135,94
3;Germany;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3;Germany;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3;Germany;Debt securities;1 668 883,84;1 885 112,97;2 350 048,66;2 367 452,88;2 395 397,99;2 347 901,16;2 479 082,64;2 657 807,28;2 536 195,24;2 448 998,75;2 138 728,29;2 033 178,65;2 171 097,59;2 078 965,05;2 172 272,52;2 551 106,54;2 316 964,35;1 936 850,67
3;Germany;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3;Germany;General government;792 006,93;900 249,84;1 054 129,59;1 153 964,24;1 296 531,36;1 309 295,61;1 481 569,84;1 663 760,76;1 626 138,18;1 597 002,86;1 335 705,34;1 223 904,97;1 236 222,85;1 141 876,44;1 159 481,36;1 408 069,03;1 217 515,55;972 579,21
3;Germany;Financial derivatives (other than reserves) and employee stock options;...;...;...;...;...;1 050 822,42;1 202 209,07;1 250 999,67;852 374,82;988 536,00;741 529,90;675 648,59;587 471,11;509 187,23;738 655,72;1 042 690,18;809 542,84;1 586 332,85
3;Germany;Other investment;1 727 617,44;2 086 591,64;2 477 215,59;2 472 520,68;2 414 062,45;2 578 304,49;2 551 915,88;2 522 674,69;2 371 736,33;2 171 273,85;2 041 135,34;2 172 757,82;2 573 186,79;2 571 850,74;2 505 616,73;3 032 404,68;3 420 920,48;3 306 689,33
