id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
2;Japan;Direct investment;104 913,48;112 907,60;137 743,83;213 860,91;212 416,67;230 022,64;242 200,60;222 152,75;185 669,94;196 850,26;205 562,01;241 710,97;256 211,39;276 845,95;314 609,00;387 803,23;356 291,19;348 043,76
2;Japan;Equity and investment fund shares;82 750,16;91 053,88;107 920,18;174 210,22;174 606,37;204 008,51;215 113,23;196 626,62;163 489,36;170 373,25;176 206,59;193 691,67;203 562,04;215 818,10;239 648,11;255 277,87;251 927,54;238 102,78
2;Japan;Direct investor in direct investment enterprises;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2;Japan;Debt instruments;22 163,32;21 853,73;29 823,65;39 650,69;37 810,30;26 014,13;27 087,36;25 526,13;22 180,58;26 477,01;29 355,42;48 019,30;52 649,35;61 027,86;74 960,88;132 525,36;104 363,65;109 940,98
2;Japan;Portfolio investment;1 542 421,32;1 762 889,74;1 942 870,70;1 541 679,78;1 537 001,43;1 866 805,80;2 026 255,29;2 085 547,44;2 393 242,83;2 366 479,00;2 664 319,64;2 784 362,45;3 336 765,22;3 168 733,82;3 631 260,06;4 111 190,25;4 126 171,30;3 454 390,46
2;Japan;Equity and investment fund shares;1 126 068,49;1 254 952,75;1 245 889,79;756 199,82;829 589,24;988 790,62;847 162,09;965 403,32;1 446 563,16;1 402 053,67;1 551 198,87;1 554 199,04;1 947 221,56;1 590 728,42;1 923 781,17;2 119 865,58;2 136 321,76;1 706 284,98
2;Japan;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2;Japan;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2;Japan;Debt securities;416 352,83;507 936,98;696 980,91;785 479,96;707 412,19;878 015,18;1 179 093,20;1 120 144,11;946 679,67;964 425,33;1 113 120,78;1 230 163,41;1 389 543,66;1 578 005,40;1 707 478,89;1 991 324,68;1 989 849,54;1 748 105,48
2;Japan;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2;Japan;General government;326 722,44;402 269,07;587 231,12;684 934,22;614 131,81;781 867,21;1 096 506,15;1 033 229,46;871 036,00;851 202,36;985 976,15;1 077 966,88;1 188 190,70;1 360 838,03;1 460 731,99;1 709 816,27;1 676 251,55;1 477 034,79
2;Japan;Financial derivatives (other than reserves) and employee stock options;33 234,19;30 155,49;43 546,72;85 521,10;56 629,69;64 664,53;72 580,56;61 537,20;82 207,11;493 661,48;379 187,04;389 305,55;300 895,32;276 978,89;305 212,63;408 661,53;307 401,62;583 511,06
2;Japan;Other investment;1 082 557,67;983 087,22;1 041 010,45;1 401 067,34;1 319 178,77;1 589 771,01;1 742 358,24;1 785 927,92;1 820 867,24;1 745 698,57;1 823 212,20;2 149 496,26;2 165 176,33;2 382 325,44;2 471 176,88;2 711 787,99;2 557 804,29;2 546 850,78
