id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
6;Morocco;Direct investment;20 751,54;29 938,72;38 613,26;39 388,35;42 581,10;45 081,59;44 515,94;45 620,29;K 51,815.96;51 192,03;49 670,52;54 784,22;63 204,80;64 135,30;66 551,12;71 975,01;72 884,89;63 277,86
6;Morocco;Equity and investment fund shares;19 016,93;28 213,54;36 530,87;37 347,83;40 749,63;43 428,10;42 493,53;42 797,59;K 48,729.95;48 049,40;45 803,12;50 451,27;57 759,79;58 212,84;60 118,81;64 643,37;65 330,22;55 783,32
6;Morocco;Direct investor in direct investment enterprises;19 016,93;28 213,54;36 530,87;37 347,83;40 749,63;43 428,10;42 493,53;42 797,59;K 48,729.95;48 049,40;45 803,12;50 451,27;57 759,79;58 212,84;60 118,81;64 643,37;65 330,22;55 783,32
6;Morocco;Debt instruments;1 734,61;1 725,19;2 082,39;2 040,52;1 831,47;1 653,48;2 022,41;2 822,70;K 3,086.02;3 142,63;3 867,40;4 332,95;5 445,01;5 922,46;6 432,31;7 331,64;7 554,66;7 494,54
6;Morocco;Portfolio investment;2 037,45;2 110,29;3 277,07;3 209,97;3 663,90;3 576,29;3 245,85;3 003,70;K 7,768.14;10 594,10;10 373,30;10 722,12;11 801,41;10 561,33;11 762,02;14 767,15;14 585,89;12 454,52
6;Morocco;Equity and investment fund shares;2 016,95;2 107,94;3 270,90;3 209,97;3 663,90;3 576,29;3 245,85;3 003,70;K 3,377.52;3 127,72;2 594,41;3 175,88;3 542,82;3 139,05;3 606,52;3 606,02;3 591,32;2 912,21
6;Morocco;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
6;Morocco;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
6;Morocco;Debt securities;20,50;2,35;6,17;...;...;...;...;...;K 4,390.62;7 466,38;7 778,90;7 546,24;8 258,60;7 422,28;8 155,50;11 161,13;10 994,57;9 542,30
6;Morocco;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
6;Morocco;General government;1,69;0,31;0,14;...;...;...;...;...;K 4,090.62;5 205,64;4 662,77;4 509,71;4 884,51;4 444,31;5 223,70;8 239,15;7 680,70;6 328,01
6;Morocco;Financial derivatives (other than reserves) and employee stock options;...;...;...;...;...;...;...;...;K 57.63;134,28;50,72;106,57;34,33;30,31;13,38;40,02;14,05;33,01
6;Morocco;Other investment;15 663,48;17 057,30;19 849,46;20 861,58;25 312,45;27 755,04;30 898,66;34 265,40;K 38,035.91;37 142,60;35 455,25;38 903,95;41 493,13;40 783,52;43 354,17;53 044,40;52 219,52;53 132,18
;;;;;;;;;;;;;;;;;;;;
