id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
5;Russian Federeation;Direct investment;180 170,98;265 652,73;490 595,15;214 049,02;377 447,11;488 992,87;454 949,15;514 925,60;565 654,22;371 491,21;347 689,82;477 670,01;529 643,81;497 366,15;586 994,27;539 746,64;610 082,50;442 276,47
5;Russian Federeation;Equity and investment fund shares;167 740,06;244 386,44;464 243,89;183 334,98;331 680,50;425 800,67;370 561,90;394 699,93;409 855,88;236 143,77;207 830,45;336 055,02;380 703,24;356 688,08;437 041,78;396 962,42;474 695,27;341 410,76
5;Russian Federeation;Direct investor in direct investment enterprises;167 740,06;244 386,44;464 243,89;183 334,98;331 680,50;425 800,67;365 060,34;385 427,17;409 850,01;235 680,64;207 017,66;335 480,32;379 888,37;356 048,89;433 933,25;395 434,98;473 078,30;340 956,50
5;Russian Federeation;Debt instruments;12 430,91;21 266,29;26 351,25;30 714,04;45 766,60;63 192,20;84 387,25;120 225,67;155 798,34;135 347,44;139 859,37;141 614,99;148 940,57;140 678,07;149 952,49;142 784,21;135 387,23;100 865,71
5;Russian Federeation;Portfolio investment;166 178,90;265 341,55;366 660,30;111 805,79;217 125,25;277 038,68;225 062,13;270 724,51;270 724,51;156 424,30;141 646,90;215 960,30;230 154,86;206 909,35;302 253,32;255 924,79;273 635,68;155 096,78
5;Russian Federeation;Equity and investment fund shares;118 160,89;207 480,41;308 005,33;83 786,76;177 783,13;231 385,72;176 020,15;194 461,21;194 461,21;111 198,87;103 014,82;165 796,23;159 538,92;152 732,40;211 459,02;169 351,04;197 807,37;104 128,95
5;Russian Federeation;Central bank;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...
5;Russian Federeation;General government;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
5;Russian Federeation;Debt securities;48 018,01;57 861,14;58 654,97;28 019,03;39 342,13;45 652,96;49 041,98;76 263,31;76 263,31;45 225,43;38 632,08;50 164,07;70 615,94;54 176,95;90 794,30;86 573,75;75 828,31;50 967,83
5;Russian Federeation;Central bank;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...
5;Russian Federeation;General government;33 643,58;32 575,11;28 632,94;16 157,42;25 710,13;30 531,78;32 297,08;57 556,19;57 556,19;33 883,31;27 668,25;38 029,11;57 348,58;42 477,58;78 180,21;74 994,51;64 226,80;42 214,83
5;Russian Federeation;Financial derivatives (other than reserves) and employee stock options;52,10;177,70;874,90;10 396,17;5 204,79;2 840,29;5 905,06;4 284,87;4 284,87;21 529,78;9 244,88;6 455,04;4 504,73;4 932,99;5 732,54;8 265,29;5 757,40;1 281,60
5;Russian Federeation;Other investment;201 395,46;238 638,77;383 923,29;419 636,75;385 017,83;383 866,86;409 530,71;448 431,65;448 449,12;415 505,03;340 186,35;321 318,84;302 136,96;259 983,50;259 822,06;248 416,83;277 428,98;...
