id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
7;Saudi Arabia;Direct investment;K 73,479.73;112 935,47;148 088,80;176 377,87;186 758,13;199 032,13;207 896,96;215 908,75;224 049,77;231 502,31;227 566,42;231 813,51;236 376,09;241 775,25;261 060,89;268 947,09;;
7;Saudi Arabia;Equity and investment fund shares;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;Direct investor in direct investment enterprises;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;Debt instruments;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;Portfolio investment;...;3 199,47;3 908,53;3 617,60;6 329,87;10 171,73;17 200,93;16 718,35;32 582,11;49 329,71;69 618,86;84 638,68;141 818,19;170 116,75;207 381,98;219 458,38;;
7;Saudi Arabia;Equity and investment fund shares;...;...;...;...;...;9 053,07;15 088,53;14 665,22;28 580,80;28 154,13;27 091,94;32 068,00;62 893,39;67 862,19;93 878,85;102 120,00;;
7;Saudi Arabia;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;Debt securities;...;...;...;...;...;1 118,67;2 112,39;2 053,13;4 001,31;21 175,58;42 526,92;52 570,68;78 924,80;102 254,57;113 503,12;117 338,38;;
7;Saudi Arabia;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;Financial derivatives (other than reserves) and employee stock options;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;;
7;Saudi Arabia;Other investment;K 42,104.80;43 714,13;49 400,47;48 936,83;45 515,24;41 939,41;39 647,40;45 087,68;48 524,18;57 287,50;65 639,53;89 631,40;110 628,33;137 003,43;162 312,24;151 071,45;;
