id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
1;USA;Direct investment;3 227 144,00;3 752 602,00;4 134 239,00;3 091 240,00;3 618 630,00;4 099 097,00;4 199 225,00;4 662 434,00;5 814 935,00;6 378 893,00;6 729 220,00;7 510 517,00;8 835 252,00;8 393 517,00;10 454 728,00;11 875 581,00;14 882 645,00;12 262 731,00
1;USA;Equity and investment fund shares;2 483 696,00;2 895 531,00;3 097 513,00;2 000 508,00;2 513 901,00;2 927 753,00;2 968 362,00;3 415 843,00;4 443 216,00;4 895 752,00;5 110 389,00;5 823 354,00;7 115 858,00;6 745 536,00;8 790 514,00;10 262 872,00;13 163 067,00;10 477 325,00
1;USA;Direct investor in direct investment enterprises;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1;USA;Debt instruments;743 448,00;857 071,00;1 036 726,00;1 090 732,00;1 104 729,00;1 171 344,00;1 230 863,00;1 246 591,00;1 371 719,00;1 483 141,00;1 618 831,00;1 687 163,00;1 719 394,00;1 647 981,00;1 664 214,00;1 612 709,00;1 719 578,00;1 785 406,00
1;USA;Portfolio investment;7 337 835,00;8 843 523,00;10 326 974,00;9 475 873,00;10 463 234,00;11 869 262,00;12 647 243,00;13 978 865,00;15 541 251,00;16 921 786,00;16 645 846,00;17 359 963,00;19 398 286,00;18 844 156,00;21 763 567,00;25 171 906,00;28 971 605,00;24 764 060,00
1;USA;Equity and investment fund shares;2 304 013,00;2 791 893,00;3 231 651,00;2 132 433,00;2 917 681,00;3 545 769,00;3 841 901,00;4 545 361,00;5 864 600,00;6 642 507,00;6 209 080,00;6 570 218,00;7 941 551,00;7 539 222,00;9 296 241,00;11 834 628,00;15 250 615,00;12 054 191,00
1;USA;Central bank;...;...;...;...;...;...;-;-;-;-;-;-;-;-;-;-;-;-
1;USA;General government;...;...;...;...;...;...;-;-;-;-;-;-;-;-;-;-;-;-
1;USA;Debt securities;5 033 822,00;6 051 630,00;7 095 323,00;7 343 440,00;7 545 553,00;8 323 493,00;8 805 342,00;9 433 504,00;9 676 651,00;10 279 279,00;10 436 766,00;10 789 745,00;11 456 735,00;11 304 934,00;12 467 326,00;13 337 278,00;13 720 990,00;12 709 869,00
1;USA;Central bank;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
1;USA;General government;1 984 391,00;2 126 178,00;2 376 442,00;3 252 974,00;3 670 597,00;4 458 823,93;5 060 236,00;5 632 530,00;5 848 800,00;6 218 138,00;6 203 288,00;6 085 657,00;6 301 296,00;6 361 993,00;7 025 099,00;7 398 291,00;7 851 033,00;7 398 914,00
1;USA;Financial derivatives (other than reserves) and employee stock options;1 132 114,00;1 179 159,00;2 487 860,00;5 967 815,00;3 363 444,00;3 541 931,00;4 630 539,00;3 561 985,00;2 939 543,00;3 166 776,00;2 388 893,00;2 162 275,00;1 523 171,00;1 407 548,00;1 770 251,00;2 552 650,00;1 960 913,00;2 473 846,00
1;USA;Other investment;3 517 772,73;4 443 046,86;5 034 923,47;4 883 789,60;4 608 777,06;4 769 329,38;5 187 250,96;4 876 890,37;5 217 691,12;5 360 848,54;5 128 258,02;5 128 001,99;5 656 082,27;6 257 356,75;6 523 071,43;7 144 022,06;7 989 936,99;8 303 499,23
