id_pays;Country;Investment Type;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
8;Ukraine;Direct investment;17 209,00;23 125,00;38 361,00;47 081,00;45 390,00;K 52,872.00;59 035,00;65 276,00;67 204,00;50 218,00;48 694,00;50 426,00;50 459,00;49 829,00;56 810,00;55 142,00;69 926,00;54 691,00
8;Ukraine;Equity and investment fund shares;16 375,00;21 182,00;34 980,00;42 748,00;40 276,00;K 46,979.00;50 715,00;54 831,00;56 019,00;40 961,00;35 562,00;37 054,00;36 310,00;35 391,00;41 663,00;37 600,00;47 796,00;34 112,00
8;Ukraine;Direct investor in direct investment enterprises;16 375,00;21 182,00;34 980,00;42 748,00;40 276,00;K 46,979.00;50 715,00;54 831,00;56 019,00;40 961,00;35 562,00;37 054,00;36 310,00;35 391,00;41 663,00;37 600,00;47 796,00;34 112,00
8;Ukraine;Debt instruments;834,00;1 943,00;3 381,00;4 333,00;5 114,00;K 5,893.00;8 320,00;10 445,00;11 185,00;9 257,00;13 132,00;13 372,00;14 149,00;14 438,00;15 147,00;17 542,00;22 130,00;20 579,00
8;Ukraine;Portfolio investment;9 011,00;12 861,00;18 618,00;17 059,00;15 593,00;K 20,085.00;21 806,00;26 765,00;35 956,00;32 021,00;28 758,00;28 778,00;30 569,00;32 674,00;38 575,00;37 500,00;38 329,00;35 939,00
8;Ukraine;Equity and investment fund shares;876,00;1 248,00;2 082,00;2 304,00;2 421,00;K 2,773.00;3 588,00;3 930,00;5 197,00;4 662,00;4 871,00;4 924,00;5 144,00;5 125,00;5 178,00;5 375,00;5 270,00;5 219,00
8;Ukraine;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
8;Ukraine;General government;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
8;Ukraine;Debt securities;8 135,00;11 613,00;16 536,00;14 755,00;13 172,00;K 17,312.00;18 218,00;22 835,00;30 759,00;27 359,00;23 887,00;23 854,00;25 425,00;27 549,00;33 397,00;32 125,00;33 059,00;30 720,00
8;Ukraine;Central bank;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
8;Ukraine;General government;5 496,00;6 248,00;7 414,00;6 997,00;5 776,00;K 9,201.00;10 048,00;14 283,00;19 386,00;19 340,00;18 838,00;19 479,00;20 859,00;22 889,00;27 433,00;26 558,00;26 428,00;24 320,00
8;Ukraine;Financial derivatives (other than reserves) and employee stock options;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3 008,00;2 514,00;691,00
8;Ukraine;Other investment;30 649,51;40 956,24;60 340,25;82 655,04;85 145,64;K 94,141.91;99 697,55;101 345,96;100 110,98;88 681,48;80 648,73;75 298,41;75 876,43;72 723,23;73 195,39;76 014,42;74 524,20;79 659,27
