id_pays;Country;Operations;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
4;China;Revenue;23,33;22,67;27,43;30,12;31,45;34,66;38,12;37,49;36,61;35,46;30,26;28,19;29,12;29,73;29,45;22,55;21,16;
4;China;Taxes;20,86;20,28;24,80;27,99;28,50;33,11;36,31;35,73;35,35;34,10;28,57;27,04;28,23;28,77;28,85;21,26;19,56;
4;China;Social contributions;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
4;China;Grants;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,15;0,00;
4;China;Other revenue;2,46;2,39;2,63;2,12;2,95;1,55;1,81;1,52;1,26;1,36;1,69;1,15;0,90;0,96;0,59;1,14;1,60;
4;China;Expense;11,92;10,83;10,14;12,23;17,39;14,35;12,98;11,69;12,42;13,15;19,15;19,53;15,22;14,06;15,02;38,25;30,21;
4;China;Compensation of employees;3,31;2,86;2,55;2,87;2,93;2,42;2,12;2,03;1,89;2,00;2,73;2,93;2,82;2,70;2,85;6,50;5,63;
4;China;Use of goods and services;0,79;0,75;0,70;0,80;0,98;0,75;0,74;0,82;0,77;0,77;0,99;0,93;0,78;0,80;1,09;2,07;1,80;
4;China;Consumption of fixed capital;;;;;;;;;;;;;;;;;;
4;China;Interest;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
4;China;Subsidies;0,31;0,40;0,45;0,97;0,98;0,97;0,77;0,38;0,39;0,39;0,41;0,43;0,45;0,42;0,41;1,98;1,17;
4;China;Grants;6,10;5,35;4,73;4,57;8,23;6,01;6,06;5,55;6,40;6,64;10,69;10,33;6,74;5,96;6,10;13,74;10,76;
4;China;Social benefits;0,22;0,25;0,02;0,04;0,03;0,28;2,41;2,23;2,12;2,28;2,93;3,19;2,82;2,63;2,91;10,13;7,62;
4;China;Other expense;1,19;1,22;1,70;2,99;4,23;3,92;0,88;0,67;0,86;1,06;1,40;1,73;1,62;1,54;1,65;3,82;3,23;
