id_pays;Country;Operations;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
5;Russian Federation;Revenue;22,14;21,76;24,18;26,42;18,26;18,33;22,34;20,55;18,69;19,36;16,79;15,14;16,37;19,28;19,03;19,13;19,86;
5;Russian Federation;Taxes;15,49;15,41;15,45;14,76;12,09;12,18;13,95;13,75;12,93;13,26;10,64;9,18;10,29;11,47;10,94;10,83;12,03;
5;Russian Federation;Social contributions;1,16;1,10;1,15;1,09;1,24;0,21;-0,02;-0,02;-0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
5;Russian Federation;Grants;0,37;0,12;0,69;0,03;0,24;0,02;0,08;0,11;0,15;0,10;0,31;0,14;0,05;0,06;0,11;0,14;0,21;
5;Russian Federation;Other revenue;5,12;5,13;6,90;10,54;4,69;5,92;8,32;6,71;5,61;6,00;5,83;5,82;6,04;7,74;7,98;8,16;7,61;
5;Russian Federation;Expense;14,00;13,05;17,15;15,22;24,07;19,50;16,40;17,71;16,92;19,04;16,01;16,38;16,28;15,07;15,80;20,06;18,21;
5;Russian Federation;Compensation of employees;2,99;2,98;3,02;3,08;4,12;3,55;3,17;3,13;3,35;3,24;3,03;2,91;2,79;2,61;2,66;2,89;;
5;Russian Federation;Use of goods and services;2,30;2,85;2,41;2,31;2,87;2,76;2,07;2,07;2,00;2,07;1,76;1,41;1,69;1,68;1,60;1,66;;
5;Russian Federation;Consumption of fixed capital;;;1,61;0,91;2,05;1,70;1,76;1,37;0,87;0,74;0,84;0,77;0,79;0,78;0,78;0,85;;
5;Russian Federation;Interest;0,90;0,60;0,39;0,35;0,43;0,40;0,45;0,48;0,51;0,55;0,80;0,76;0,76;0,77;0,86;0,83;;
5;Russian Federation;Subsidies;0,17;0,17;2,09;1,51;3,56;1,20;0,86;1,11;1,31;2,29;0,90;1,60;1,42;1,24;1,54;2,32;;
5;Russian Federation;Grants;5,44;5,27;5,53;6,02;9,82;8,81;7,17;8,39;7,74;8,95;7,44;7,53;7,46;6,70;6,97;10,46;;
5;Russian Federation;Social benefits;0,79;0,73;0,71;0,68;0,80;0,74;0,64;1,02;1,00;1,06;1,08;0,92;0,90;0,82;0,78;0,85;;
5;Russian Federation;Other expense;1,42;0,46;1,38;0,35;0,41;0,35;0,28;0,16;0,15;0,14;0,16;0,47;0,47;0,48;0,62;0,21;;
