id_pays;Country;Operations;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
7;Saudi Arabia;Revenue;-;-;-;-;-;37,40;44,40;45,17;41,17;36,67;24,97;21,48;26,78;30,71;31,18;29,78;;
7;Saudi Arabia;Taxes;-;-;-;-;-;2,53;2,33;2,54;2,73;2,77;3,33;3,39;3,38;8,93;7,40;8,64;;
7;Saudi Arabia;Social contributions;-;-;-;-;-;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;
7;Saudi Arabia;Grants;-;-;-;-;-;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;
7;Saudi Arabia;Other revenue;-;-;-;-;-;34,87;42,06;42,63;38,43;33,90;21,64;18,09;23,39;21,79;23,78;21,14;;
7;Saudi Arabia;Expense;-;-;-;-;-;24,43;23,20;25,85;26,14;28,95;32,24;28,79;27,97;30,20;29,94;35,07;;
7;Saudi Arabia;Compensation of employees;-;-;-;-;-;14,54;13,83;13,68;13,61;13,97;18,55;16,93;16,27;16,39;16,98;18,84;;
7;Saudi Arabia;Use of goods and services;-;-;-;-;-;4,53;3,74;3,98;5,36;6,54;5,89;6,21;5,27;5,73;5,41;7,74;;
7;Saudi Arabia;Consumption of fixed capital;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;
7;Saudi Arabia;Interest;-;-;-;-;-;0,55;0,31;0,22;0,16;0,12;0,11;0,20;0,35;0,51;0,71;0,93;;
7;Saudi Arabia;Subsidies;-;-;-;-;-;0,39;0,48;1,35;0,81;0,77;0,81;0,29;0,20;0,54;0,78;1,06;;
7;Saudi Arabia;Grants;-;-;-;-;-;0,25;0,34;2,30;0,99;1,46;1,35;0,20;0,25;0,29;0,43;0,82;;
7;Saudi Arabia;Social benefits;-;-;-;-;-;1,09;1,24;1,32;0,93;1,21;1,25;1,71;1,84;1,71;2,76;2,64;;
7;Saudi Arabia;Other expense;-;-;-;-;-;3,09;3,25;2,99;4,27;4,88;4,28;3,24;3,79;5,03;2,87;3,04;;
;;;;;;;;;;;;;;;;;;;;
