id_pays;Country;Operations;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
1;USA;Revenue;11,39;12,08;12,12;11,12;9,11;9,96;10,85;10,98;12,31;12,43;12,55;12,10;12,75;11,03;10,83;11,19;12,35;13,17
1;USA;Taxes;10,68;11,31;11,29;10,28;7,90;8,56;9,54;9,76;10,48;10,94;11,24;10,92;11,58;9,99;9,96;10,34;11,44;12,31
1;USA;Social contributions;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;USA;Grants;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;0,01;0,00;0,00;0,00
1;USA;Other revenue;0,70;0,76;0,82;0,84;1,20;1,39;1,30;1,21;1,82;1,49;1,31;1,18;1,17;1,04;0,87;0,84;0,91;0,85
1;USA;Expense;13,32;12,85;13,01;14,50;15,90;16,38;15,91;14,57;13,72;13,61;13,33;13,37;13,18;13,22;13,42;19,86;20,68;15,68
1;USA;Compensation of employees;1,77;1,73;1,74;1,82;2,01;2,10;2,07;1,97;1,85;1,79;1,74;1,75;1,71;1,69;1,68;1,78;1,69;1,60
1;USA;Use of goods and services;1,99;1,99;1,95;2,23;2,43;2,55;2,38;2,20;1,89;1,74;1,64;1,59;1,55;1,60;1,68;1,83;1,80;1,71
1;USA;Consumption of fixed capital;1,41;1,40;1,42;1,47;1,56;1,56;1,58;1,55;1,52;1,49;1,44;1,41;1,38;1,36;1,34;1,41;1,34;1,32
1;USA;Interest;2,64;2,69;2,82;2,63;2,45;2,53;2,73;2,60;2,47;2,50;2,36;2,43;2,45;2,63;2,70;2,48;2,46;2,85
1;USA;Subsidies;0,46;0,37;0,33;0,34;0,39;0,36;0,38;0,35;0,35;0,33;0,31;0,33;0,30;0,31;0,34;3,12;2,06;0,50
1;USA;Grants;3,34;3,12;3,15;3,21;3,97;4,20;3,85;3,49;3,39;3,49;3,57;3,63;3,49;3,45;3,44;4,82;5,37;4,84
1;USA;Social benefits;1,45;1,42;1,43;1,56;2,10;2,62;2,57;2,21;2,17;2,21;2,23;2,20;2,20;2,14;2,15;3,07;3,14;2,74
1;USA;Other expense;0,26;0,12;0,17;1,24;1,00;0,46;0,34;0,19;0,07;0,06;0,04;0,03;0,09;0,04;0,09;1,36;2,82;0,12
