id_pays;Country;Operations;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
8;Ukraine;Revenue;23,75;24,43;22,69;24,06;22,87;22,24;24,16;24,55;23,13;22,45;26,44;25,83;26,59;25,83;25,10;25,48;23,75;36,47
8;Ukraine;Taxes;17,16;17,75;16,42;17,74;16,39;15,57;18,52;18,32;17,56;17,29;20,45;19,63;20,04;20,14;19,20;19,15;19,05;17,85
8;Ukraine;Social contributions;0,82;0,89;0,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8;Ukraine;Grants;0,37;0,32;0,62;0,82;0,92;0,64;0,25;0,11;0,21;0,47;0,25;0,35;0,25;0,25;0,25;0,28;0,25;10,01
8;Ukraine;Other revenue;5,39;5,48;4,81;5,49;5,56;6,03;5,40;6,12;5,36;4,68;5,74;5,85;6,29;5,44;5,65;6,06;4,44;8,61
8;Ukraine;Expense;24,72;24,37;23,01;24,34;26,09;27,58;25,05;27,49;27,05;26,82;27,68;27,91;27,40;26,65;26,11;29,80;26,53;53,81
8;Ukraine;Compensation of employees;4,40;4,55;4,50;4,55;4,95;4,75;4,19;4,26;4,39;4,37;4,02;4,42;4,52;4,81;5,28;5,70;4,81;20,29
8;Ukraine;Use of goods and services;4,25;4,14;4,04;4,03;4,82;4,54;4,37;4,67;4,19;4,12;4,39;4,02;4,09;4,43;4,58;7,15;7,01;15,33
8;Ukraine;Consumption of fixed capital;;;;;;;;;;;;;;;;;;
8;Ukraine;Interest;0,74;0,62;0,52;0,46;1,09;1,54;1,89;1,83;2,35;3,21;4,37;4,08;3,74;3,27;3,02;2,86;2,80;3,26
8;Ukraine;Subsidies;1,56;1,84;2,02;2,60;2,03;1,89;1,11;1,46;1,32;1,08;0,51;0,34;0,46;0,37;0,34;1,52;0,59;1,12
8;Ukraine;Grants;10,62;9,77;9,80;10,57;12,16;13,18;11,83;13,51;13,62;13,02;13,60;14,25;13,71;12,66;11,43;8,95;7,56;7,73
8;Ukraine;Social benefits;1,60;1,89;0,23;0,12;0,20;0,26;0,16;0,13;0,32;0,34;0,46;0,45;0,39;0,36;0,67;2,42;2,38;5,35
8;Ukraine;Other expense;1,55;1,56;1,90;2,01;0,84;1,42;1,50;1,63;0,87;0,68;0,34;0,37;0,49;0,77;0,80;1,22;1,37;0,72
